Day;eggsLaid;eggInHive;Larva;Pupa;Worker;Drone;Death;Birth;HoneyStock;Flower1Nectar;Flower2Nectar;Flower3Nectar
1;41;41;0;0;100;0;0;0;4729.0;16640;41800;8320
2;41;82;0;0;100;0;0;0;4961.0;16820;41500;8290
3;43;125;0;0;100;0;0;0;5206.0;16720;40950;8450
4;17;101;41;0;100;0;0;41;5417.5;16520;41700;8400
5;44;104;82;0;100;0;0;82;5612.5;16740;41350;8360
6;14;75;125;0;100;0;0;125;5785.0;16920;41300;8280
7;26;84;142;0;100;0;0;142;5969.0;16840;40350;8510
8;50;90;186;0;100;0;0;186;6104.0;16820;41700;8250
9;47;123;200;0;100;0;0;200;6243.0;16780;41200;8370
10;28;125;185;41;100;0;0;226;6393.5;16600;41100;8480
11;50;125;194;82;100;0;0;276;6513.5;16800;42300;8140
12;35;113;198;125;100;0;0;323;6638.5;16740;41950;8240
13;41;126;209;142;100;0;0;351;6771.0;16680;41350;8390
14;15;91;215;186;100;0;0;401;6886.5;16560;42150;8290
15;44;100;236;200;0;0;100;436;6766.5;20000;50000;10000
16;38;97;251;226;0;0;100;477;6639.0;20000;50000;10000
17;38;120;216;276;0;0;100;492;6529.0;20000;50000;10000
18;25;101;213;323;0;0;100;536;6420.5;20000;50000;10000
19;49;112;223;351;0;0;100;574;6307.0;20000;50000;10000
20;17;91;211;360;36;5;100;571;6273.5;18760;47250;9370
21;14;80;201;354;72;10;100;555;6330.0;18000;43700;8660
22;11;42;209;352;109;16;100;561;6460.5;16720;40750;8040
23;28;53;211;350;125;17;100;561;6637.0;15540;39300;8120
24;45;84;181;350;163;23;100;531;6906.5;14520;36200;7350
25;38;111;154;374;176;24;100;528;7208.5;14140;35600;7010
26;21;104;144;386;200;26;100;530;7552.5;13300;34450;6460
27;15;74;164;361;246;30;100;525;7995.5;12120;30150;5610
28;10;46;153;363;290;33;100;516;8536.0;10620;26850;4820
29;50;75;157;352;315;36;100;509;9176.5;9760;22450;4880
30;21;81;158;316;362;39;100;474;9896.5;8200;19900;3820
31;18;89;157;292;393;43;100;449;10690.0;6840;17250;3480
32;15;54;179;279;429;48;100;458;11578.5;5600;12950;3160
33;47;44;155;309;441;51;100;464;12461.0;5060;14200;2580
34;19;26;135;303;481;55;100;438;13487.5;4060;8400;2240
35;35;11;129;286;480;53;141;415;14520.0;4780;7900;2030
36;41;41;125;263;477;53;182;388;15495.5;4260;11150;1790
37;12;53;115;248;462;50;225;363;16445.0;4820;12300;2030
38;26;79;65;249;489;55;242;314;17505.5;4440;8300;1670
39;41;79;85;253;467;50;286;338;18511.0;4460;10550;2310
40;37;104;79;257;466;51;300;336;19502.5;4360;11400;2240
41;38;116;90;261;452;50;326;351;20489.5;4440;11150;2950
42;43;106;120;244;433;47;376;364;21377.5;6300;14100;2380
43;42;111;157;199;424;54;423;356;22232.0;6180;14450;2820
44;45;118;195;161;434;54;451;356;23116.5;5000;12900;3220
45;11;98;185;181;406;53;501;366;23946.0;6080;14900;3680
46;13;69;215;178;389;50;536;393;24707.5;8020;16300;3280
47;38;62;234;194;362;46;577;428;25411.5;8380;18300;4050
48;24;75;204;185;393;50;592;389;26187.5;7860;16000;3220
49;16;78;180;201;372;48;636;381;26926.5;8520;17850;3570
50;31;71;180;221;354;46;674;401;27595.5;8140;21450;3940
51;47;94;173;237;336;41;712;410;28260.0;8560;21650;4590
52;31;109;147;268;323;40;737;415;28888.5;10040;23050;4220
53;47;125;133;313;280;34;786;446;29438.0;10660;26700;5330
54;46;124;169;324;264;33;803;493;29938.5;11420;27650;5560
55;49;142;187;296;286;38;817;483;30484.0;11120;25150;5110
56;31;126;196;322;288;37;828;518;31008.0;10340;26550;5120
57;37;111;218;320;283;40;856;538;31502.0;10060;27500;5320
58;21;83;251;295;285;34;901;546;31982.5;10040;27650;5200
59;41;93;251;289;283;35;939;540;32461.0;11040;27050;4920
60;41;103;235;298;298;37;960;533;33020.5;10000;24150;5270
61;50;111;225;298;313;38;975;523;33605.0;9860;23400;4740
62;46;85;219;303;341;42;985;522;34285.5;8740;19600;4660
63;24;54;214;304;338;40;1035;518;34882.5;8640;24000;3980
64;32;57;194;342;328;40;1056;536;35512.5;9020;22500;4590
65;15;57;178;360;323;40;1074;538;36135.5;9240;23050;4620
66;13;60;157;353;339;47;1089;510;36829.0;8600;20300;4690
67;23;51;168;350;352;47;1100;518;37506.0;8640;21000;3880
68;40;68;142;375;367;48;1100;517;38270.0;8680;17400;3830
69;47;55;114;385;396;50;1100;499;39082.0;6120;17550;3630
70;20;32;108;367;399;53;1141;475;39935.0;7040;14950;3540
71;21;21;125;351;412;59;1153;476;40784.5;6420;14950;3200
72;40;53;115;314;433;59;1179;429;41695.0;5940;12750;2830
73;11;64;83;300;437;60;1220;383;42626.5;5560;12700;2830
74;37;80;89;266;450;59;1257;355;43542.0;4880;14000;2260
75;36;84;108;248;446;56;1295;356;44495.0;5920;11100;2520
76;46;119;96;240;443;59;1326;336;45424.0;5400;12750;2600
77;32;114;101;251;425;56;1368;352;46289.5;5200;15850;2980
78;25;103;137;210;420;57;1413;347;47139.0;5840;15250;3030
79;43;100;183;169;449;58;1424;352;48034.5;5200;12500;2450
80;39;107;194;161;464;59;1437;355;48941.5;4320;12350;2170
81;44;97;187;178;445;55;1475;365;49855.0;5260;11550;2810
82;26;80;219;179;432;54;1499;398;50716.5;5900;12850;2880
83;38;77;221;184;446;56;1515;405;51564.0;5680;13700;2120
84;36;78;200;205;431;55;1546;405;52399.0;5440;14850;2760
85;46;83;180;238;406;46;1593;418;53199.0;6400;16650;3170
86;38;85;184;247;402;42;1624;431;54018.0;7180;15250;3260
87;14;83;175;240;387;42;1671;415;54789.5;7660;17400;3340
88;15;67;163;283;346;37;1717;446;55501.0;9380;19350;4140
89;13;42;162;322;300;34;1766;484;56075.0;9880;25500;4960
90;49;77;161;316;290;34;1797;477;56633.5;9760;26250;5370
91;41;103;150;310;295;30;1828;460;57223.5;9900;25150;5270
92;13;103;127;335;287;28;1849;462;57798.0;10400;26150;5220
93;20;74;160;314;284;27;1890;474;58357.0;10220;26250;5440
94;16;49;170;309;280;26;1931;479;58903.0;10860;26250;5320
95;35;71;145;301;295;28;1960;446;59496.5;10760;24650;4940
96;15;66;151;283;311;29;1975;434;60120.0;9880;23700;4770
97;48;98;152;273;323;32;1985;425;60757.0;9400;23300;4490
98;39;102;174;243;333;33;2017;417;61383.0;9040;23600;4110
99;29;116;140;253;352;38;2032;393;62075.0;8560;21450;3830
100;11;79;147;279;352;40;2045;426;62778.5;8140;20850;4160
